# X, Y, Z, V, Ex, Ey, Ez
0.017 0 0.003 519.521 1926.98 -0.101362 -468.157
0.018 0 0.003 517.573 1963.52 -0.0926002 -421.338
0.019 0 0.003 515.594 1988.83 -0.0822491 -373.803
0.02 0 0.003 513.596 2002.8 -0.0742715 -325.826
0.021 0 0.003 511.589 2005.39 -0.0672577 -277.682
0.022 0 0.003 509.585 1996.65 -0.057153 -229.633
0.023 0 0.003 507.595 1976.73 -0.0458553 -181.948
0.024 0 0.003 505.631 1945.82 -0.0350108 -134.883
0.025 0 0.003 503.704 1904.16 -0.0227425 -88.6892
0.026 0 0.003 501.823 1851.85 -0.0132307 -43.6257
0.027 0 0.003 500 915.056 6.21725e-15 -0.000665659
0.028 0 0.003 500 9.83902 -4.70897e-05 0
0.029 0 0.003 499.987 12.0114 -0.00414907 0.119056
0.03 0 0.003 499.976 10.9039 -0.00812768 0.110907
0.031 0 0.003 499.966 9.09464 -0.0604094 0.228354
0.032 0 0.003 499.958 7.05318 0.0380655 0.445785
0.033 0 0.003 499.952 4.89364 0.0806022 0.224845
0.034 0 0.003 499.948 2.37112 -0.00100373 0.482515
0.035 0 0.003 499.947 0 0 0
-0.035 0 0.004 499.946 0 0 0
-0.034 0 0.004 499.947 -2.48734 0.00646261 0.599496
-0.033 0 0.004 499.951 -4.90055 0.00973158 0.551512
-0.032 0 0.004 499.957 -7.1633 0.0129569 0.48207
-0.031 0 0.004 499.966 -9.18671 0.0102201 0.390978
-0.03 0 0.004 499.976 -10.8814 0.00770277 0.274934
-0.029 0 0.004 499.987 -12.1462 0.00506192 0.143314
-0.028 0 0.004 500 -12.7391 6.76342e-05 0.000563831
-0.027 0 0.004 500 -945.545 0 0
-0.026 0 0.004 501.871 -1906.18 -0.00920804 -58.8258
-0.025 0 0.004 503.805 -1957.8 -0.0225741 -119.626
-0.024 0 0.004 505.787 -2000.1 -0.0382047 -181.891
-0.023 0 0.004 507.805 -2031.75 -0.055226 -245.286
-0.022 0 0.004 509.85 -2052.24 -0.0741055 -309.455
-0.021 0 0.004 511.91 -2061.27 -0.0931167 -374.039
-0.02 0 0.004 513.973 -2058.69 -0.114 -438.678
-0.019 0 0.004 516.027 -2044.41 -0.134174 -503.008
-0.018 0 0.004 518.061 -2018.47 -0.147826 -566.674
-0.017 0 0.004 520.064 -1980.96 -0.162571 -629.314
-0.016 0 0.004 522.023 -1932.09 -0.170296 -690.579
-0.015 0 0.004 523.928 -1872.14 -0.175697 -750.114
-0.014 0 0.004 525.768 -1801.45 -0.173799 -807.577
-0.013 0 0.004 527.531 -1720.43 -0.167431 -862.627
-0.012 0 0.004 529.208 -1629.57 -0.159183 -914.937
-0.011 0 0.004 530.79 -1529.37 -0.14476 -964.194
-0.01 0 0.004 532.267 -1420.4 -0.133831 -1010.1
-0.009 0 0.004 533.631 -1303.26 -0.12818 -1052.39
-0.008 0 0.004 534.874 -1178.58 -0.127418 -1090.82
-0.007 0 0.004 535.988 -1047.05 -0.134873 -1125.16
-0.006 0 0.004 536.968 -909.399 -0.144634 -1155.25
-0.005 0 0.004 537.807 -766.371 -0.173963 -1180.94
-0.004 0 0.004 538.501 -618.783 -0.212407 -1202.1
-0.003 0 0.004 539.045 -467.497 -0.245384 -1218.66
-0.002 0 0.004 539.436 -313.382 -0.289544 -1230.54
-0.001 0 0.004 539.671 -157.359 -0.337436 -1237.72
0 0 0.004 539.75 -0.377897 -0.377897 -1240.17
0.001 0 0.004 539.672 156.611 -0.416567 -1237.89
0.002 0 0.004 539.437 312.649 -0.443847 -1230.89
0.003 0 0.004 539.047 466.798 -0.461069 -1219.18
0.004 0 0.004 538.503 618.141 -0.470077 -1202.81
0.005 0 0.004 537.81 765.788 -0.466746 -1181.83
0.006 0 0.004 536.972 908.889 -0.45651 -1156.32
0.007 0 0.004 535.993 1046.63 -0.432485 -1126.39
0.008 0 0.004 534.879 1178.24 -0.400138 -1092.16
0.009 0 0.004 533.636 1303.01 -0.370511 -1053.81
0.01 0 0.004 532.273 1420.24 -0.339249 -1011.54
0.011 0 0.004 530.796 1529.28 -0.300103 -965.585
0.012 0 0.004 529.214 1629.53 -0.26009 -916.222
